source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3115847422896185728,105.70760394443961,3.0693433304877344,,,,,19.26896,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847422896186880,105.70639421218074,3.0702448435998173,-0.5924207695948568,-0.9347898275724451,-0.26124518268958835,0.89742845,20.454786,1.1004066,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847422896195968,105.70693451884881,3.0654363320124625,0.9752009340170852,-0.553071676936789,-3.17339944514604,1.1105019,14.64071,,52.563126,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847422900571008,105.70936796979753,3.0775290296336006,2.167882616186747,-0.7970315045965392,-7.72011838215973,0.9854521,15.228322,1.4396458,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4455.3706,4.5936,0.2529,462.3553,0.1881,0.142,0.0745
3115847422900573696,105.71608290470128,3.0681753691308713,0.3403780987478962,0.6558874773206771,-0.17747408905312947,1.0389329,16.982306,0.93265724,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5374.3438,4.7383,-2.5743,1286.8384,0.0811,0.0671,0.0369
3115847422900573824,105.71434050313,3.069545456128097,0.3305795036406001,0.27136687434628387,0.6560163600439478,1.2057769,17.142078,0.98770523,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5121.651,4.7734,-1.9605,1169.0592,0.0288,0.0234,0.0128
3115847422900576640,105.71221016826784,3.0670038222381883,-0.25528326901253967,-0.33003779054936777,-0.33212496685541004,0.9962891,20.089764,0.98680496,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847422900580992,105.70655090918582,3.0653929233985995,0.29159787077030397,-0.7090234958655091,-0.501491960712546,1.6625261,14.316171,0.5341587,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,7137.1714,4.1314,-0.8541,1679.3125,0.2073,0.1852,0.1
3115847452962168064,105.66753508594643,3.047851882273852,0.28301694268075506,0.3663971651750333,-0.15581425013697775,1.0955938,19.435665,1.1892262,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429705735535872,107.94476034455961,1.1987358422651275,0.09051060123885868,-0.5956372649452331,-0.697268881801992,1.1024852,17.85443,0.77521324,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5576.157,4.7294,-3.5607,2235.7656,0.0062,0.0052,0.0029
3114429735798305536,107.94780921457185,1.1988467136278853,1.2478475266735967,-0.2458581861132114,0.008278947121772674,0.97282535,19.837688,1.2614651,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429735798308608,107.95320261671992,1.1992654460585486,0.3388140417526722,-0.4802496113356008,0.10966322351895193,0.99544364,18.399658,1.0770683,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4887.255,4.8876,-2.1059,1626.402,0.0048,0.0038,0.0021
3114429735798322944,107.95927697478335,1.202045330885864,0.6119015351429318,-0.39592967671029317,1.0962975383557287,1.0641311,15.016228,0.82098293,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6323.624,4.3866,-0.4345,1269.9941,0.4294,0.3668,0.199
3114429735798323072,107.94168001262506,1.2032191611879037,,,,,20.344418,1.1440868,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429735799594752,107.94579927772087,1.202479015700143,0.7175164535266515,-0.35491368030752957,0.32269977855221943,0.96211445,19.379221,1.0738297,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429740091546240,107.94672248883089,1.2007506757929125,-0.36458764992634385,-0.780455787238057,-0.33634123624501644,1.0239854,18.601282,0.6027088,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429740091547392,107.94560974477413,1.2007744994702638,,,,,18.41349,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429740093318784,107.9576564345649,1.201870571069594,0.5203621818762424,0.1634235514322393,-0.9183104237401446,1.0102873,19.700933,1.2888813,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429740094148480,107.95011549637442,1.2047650959459664,,,,,20.7954,1.1490135,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429740095271808,107.94600115320897,1.200497866235748,0.829999963254108,-2.655777816103587,2.8216313777638886,1.0840057,15.13845,0.960104,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5234.594,4.3415,-1.4938,961.6736,0.0691,0.0567,0.0309
3114429740096006784,107.95585016532489,1.2023073066916121,0.2965507301285531,-0.7602250655719831,-1.705751649091791,0.9937504,17.64472,1.150301,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4739.673,4.8799,-1.775,1040.831,0.0057,0.0045,0.0024
3114429740096008320,107.95178545468613,1.2031770023467687,0.2909759907959823,-0.3870639396688563,0.3611603391015729,1.0491272,15.732095,1.2637787,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5227.9175,3.894,-0.0209,1856.1501,0.7111,0.5654,0.3016
3115119683642972032,107.94892032518928,2.177485687721828,0.815981450609368,-7.326459048654466,4.819298872192172,0.92204756,16.378988,1.0970879,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5168.8784,4.6894,-0.9971,901.62,0.3101,0.2509,0.136
3114429740096012032,107.95000472788008,1.1970791744975973,0.38595327946198255,-3.425039859226132,0.8066631034541946,1.0021122,17.533667,1.0956936,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4808.8623,4.9085,-2.0854,997.2561,0.006,0.0048,0.0026
3115490111683800576,105.27112376193247,2.0484170448719117,-2.324027465835106,-1.486532740186176,2.7691069541206597,0.9586692,20.412113,1.5926266,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115490115976534656,105.27838110738494,2.045484713233008,-1.2339078343927385,-0.13868232408502199,1.0670067595339612,1.0398558,20.61104,1.4437523,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115490115976541824,105.27317832839387,2.0381950111701537,0.5324486478386296,1.5499683478183346,-0.3216886027387566,0.98955184,19.497463,1.2689114,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115490115976543104,105.26820678704736,2.041452106527885,-0.8356310072603074,-4.087952175499522,1.7028512049125917,1.18541,20.158201,2.0769558,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115490115976549120,105.26171470028314,2.042763167342475,,,,,20.980711,1.1153297,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115490115982704128,105.27048101351942,2.050801908986627,0.5564841902466848,-0.912734693026681,-5.498853181656708,1.0305659,17.881994,1.4602852,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4215.4883,4.8981,-1.3483,792.8607,0.0306,0.0229,0.0123
3115490115982707072,105.27008897531037,2.0395967243806563,0.285522919585882,-1.9927482419272067,1.2696449735434236,1.0774589,13.659854,1.5699453,23.389061,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3115119683642978944,107.94673574230904,2.1716173030905233,0.37862590608546487,-0.919238764571612,-0.014594009827531168,0.91030085,14.260436,0.6170273,102.42855,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,7849.4985,3.9901,-0.5816,2252.005,0.7633,0.6854,0.3683
3115490146043010176,105.28476759771077,2.046103023373064,,,,,19.628834,2.6154118,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
