source_id,parallax (mas),parallax_error (mas),pf (days),pf_error (days),int_average_g (mag),int_average_g_error (mag),absolute magnitude / mag,luminosity/watts
5520935444020910000,0.10,0.02,2.540474371,4.98E-05,14.98,0.00,-0.026407072,2.94075E+28
5520993099661920000,0.08,0.02,2.808828436,2.32E-05,15.30,0.00,-0.119988897,2.69901E+28
6755189954031860000,0.05,0.02,1.793976819,4.07E-05,13.85,0.01,-2.567752638,2.8627E+27
5977688031780390000,0.198143183,0.02,14.5491725,0.00,13.14,0.00,-0.378281322,2.13E+28
5238530486651140000,0.10,0.01,14.14195309,0.01,13.77,0.03,-1.340416376,8.8179E+27
5896240917673940000,0.039512799,0.07,12.85371522,0.00,16.96,0.00,-0.054683027,2.86551E+28
4161226962213060000,0.021674778,0.35,5.402510338,0.00,19.25,0.02,0.929681312,7.06425E+28
5181126079750180000,0.129480116,0.02,32.21379993,0.07,12.84,0.02,-1.598718593,6.95885E+27
5188379665334860000,0.304480903,0.01,0.62196278,8.74E-06,12.95,0.01,0.369153296,4.22597E+28
4312219187494110000,0.100411249,0.22,3.213302647,1.92E-04,18.53,0.01,3.534071841,7.68858E+29
4312228980050780000,0.108664465,0.06,27.68643111,0.04,15.91,0.03,1.090636735,8.18731E+28
6716879292429350000,0.125787875,0.02,3.336294049,3.60E-04,13.61,0.02,-0.892501097,1.32946E+28
3349047375222890000,0.168450603,0.02,3.020757324,1.28E-04,14.35,0.00,0.482467844,4.68852E+28
5836447177657000000,0.013757292,0.03,6.987444384,7.03E-04,15.67,0.00,-3.641298277,1.07006E+27
3349130530085480000,0.176590114,0.02,9.146335191,0.00,13.44,0.01,-0.329474062,2.22746E+28
4261836060063640000,0.142981911,0.03,14.17675148,0.00,14.90,0.01,0.671998493,5.57809E+28
5903821951590640000,0.01,0.02,7.057618451,5.66E-04,13.88,0.00,-6.574190744,7.27539E+25
5903991551246840000,0.08,0.05,0.844543321,1.94E-05,16.09,0.01,0.72135997,5.83628E+28
5836422885318550000,0.030954753,0.04,2.894242622,7.10E-05,16.20,0.00,-1.347711279,8.75913E+27
2073922579215430000,0.03,0.02,11.92728369,6.03E-04,12.97,0.02,-4.796166973,3.71251E+26
2073935223599390000,0.10,0.02,3.370813917,4.79E-05,13.21,0.00,-1.88993528,5.32853E+27
5893557873128230000,0.07,0.04,1.846370774,1.06E-05,15.83,9.62E-04,0.199631707,3.61777E+28
4105982485837160000,0.132360919,0.05,1.303808176,3.73E-05,16.18,0.01,1.789700875,1.55393E+29
6053215207813590000,0.04,0.02,9.98,4.10E-04,14.35,0.00,-2.756059063,2.40887E+27
4042756852119480000,0.105585132,0.02,10.5802509,0.00,13.92,0.01,-0.96164216,1.24782E+28
